2b Abt-Burkard-Straße
3b Gorch-Fock-Straße
3b Heinrich-Zierl-Straße
1a Jonas-Wehner-Straße, 26 - 40
3b Franz-Schubert-Straße, 1 - 17
2a Gottfried-Schenker-Straße
4a Heisenbergstraße , 13 - 21, 34
4a Josef-Reuss-Straße
4b Franz-Schubert-Straße, 2 - 20
1b Göteborgstraße
5a Heisenbergstraße
3b Josef-Säckler-Straße

